otel_ad,fiyat,Hava Alanına Uzaklığı,Denize Uzaklığı,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı,il,ilce
Sealife Family Resort,25920.0,20,,0.0,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Konyaaltı-Konyaaltı 
Seher Sun Palace,13860.0,55,300.0,0.0,2,1,1,1,1,1,1,4,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,Antalya , Side 
Selge Beach Resort Spa,47400.0,75,0.0,1.0,2,1,1,1,3,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,Antalya , Side-Kızılağaç 
Serenis Hotel,15933.0,65,500.0,0.0,1,1,1,1,5,1,0,2,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,Antalya , Side-Kumköy 
Serenity Queen Hotel,20196.0,114,,1.0,2,0,0,1,2,1,0,7,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,Antalya , Alanya-Konaklı 
Seven Seas Gravel Select,22345.8,55,0.0,1.0,4,1,1,1,3,1,1,11,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,Antalya , Kemer-Merkez 
Xanadu Resort Hotel,40800.0,40,,1.0,6,1,1,1,2,1,0,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Belek-Acısu Mevkii 
Alan Xafira Deluxe Resort Spa,14973.0,60,300.0,0.0,3,1,1,1,3,1,0,7,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Alanya-Türkler 
Aqı Pegasos World,18008.1,70,0.0,0.0,3,1,0,1,1,1,0,7,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,Antalya , Side-Titreyengöl 
First Class Hotel Alanya,12150.0,25,,1.0,1,1,1,1,2,1,1,6,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,Antalya , Alanya-Kargıcak 
Grand Kolibri Prestige Spa,10206.7,100,100.0,0.0,1,0,1,1,2,1,0,4,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,Antalya , Alanya-Avsallar 
Miracle Resort Otel,40500.0,15,0.0,1.0,2,1,2,3,1,1,1,2,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,Antalya , Lara-Kundu 
Side Star Park,16046.6,65,200.0,0.0,3,1,1,1,1,0,0,4,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Tui Magic Life Masmavi,25061.4,35,0.0,0.0,6,1,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,Antalya , Belek-Serik 
Campus Hill Hotel,7781.4,135,750.0,0.0,1,0,1,1,1,0,0,4,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,Antalya , Alanya 
Club Porto Amore Adult Only,41971.0,162,0.0,0.0,2,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,Antalya , Alanya 
Diamond Hill Resort,12232.5,125,50.0,0.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,Antalya , Alanya-Tosmur 
Aqı Hydros Club,16891.2,65,0.0,1.0,3,1,0,1,2,1,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Antalya , Kemer-Merkez 
Arabella World Hotel,8373.7,107,300.0,0.0,0,1,1,1,1,1,0,2,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,Antalya , Alanya-İncekum 
Ares Blue Hotel,8178.0,65,100.0,0.0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,Antalya , Kemer-Kiriş 
Artemis Princess Hotel,10520.9,120,200.0,0.0,0,1,1,1,2,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,Antalya , Alanya-Obagöl 
Aska Just İn Beach,16456.5,100,0.0,0.0,1,1,1,1,1,1,0,2,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,Antalya , Alanya-İncekum 
Balmy Beach Resort Kemer,57852.0,40,0.0,0.0,1,0,1,0,1,0,0,3,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Antalya , Kemer 
Belkon Club Hotel,5100.0,30,750.0,0.0,1,0,1,1,3,0,0,3,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,Antalya , Belek-Üçkum Tepesi 
Bilem Hotel Beach Spa,20351.2,16,0.0,0.0,0,1,1,1,1,1,1,4,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,Antalya , Lara 
Blue Fish Hotel,13114.3,118,50.0,1.0,0,1,1,1,1,0,0,4,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,Antalya , Alanya-Konaklı 
Club Kastalia Holiday Village,17796.2,113,0.0,1.0,0,1,1,1,2,0,0,3,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,Antalya , Alanya-Konaklı 
Elips Royal Hotel,17169.6,10,,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Antalya , Antalya Merkez-Muratpaşa 
Falcon Hotel,28800.0,17,0.0,1.0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,Antalya , Lara 
Fun And Sun Smart Hane Sun,13678.8,55,600.0,0.0,0,0,6,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,Antalya , Side-Çolaklı 
Green Paradise Hotel,6891.4,55,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,Antalya , Alanya 
Hera Hotel Kaş,15390.0,160,0.0,1.0,2,1,1,1,1,0,0,3,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,Antalya , Kaş-Küçükçakıl Mevkii 
Kleopatra Arsi Hotel,18711.3,125,50.0,0.0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,Antalya , Alanya 
Lonicera Premium Hotel,16447.8,65,0.0,0.0,0,1,1,1,1,1,1,4,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,Antalya , Alanya-Türkler 
Seher Kumköy Star Resort Spa,18720.0,60,0.0,0.0,2,0,1,1,1,1,0,5,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,Antalya , Side-Manavgat 
Side Amour Hotel,10800.0,65,750.0,0.0,0,0,1,1,1,0,1,2,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,Antalya , Side-Manavgat 
Side Win Hotel,6891.4,56,500.0,0.0,0,0,0,0,1,0,0,3,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Evrenseki 
Theluna Suite Hotel,14132.5,20,,0.0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,Antalya , Konyaaltı-Konyaaltı 
Club Hotel Mirabell,8004.0,120,50.0,1.0,0,1,1,1,2,0,0,5,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,Antalya , Alanya-Konaklı 
Gardenia Hotel,13157.1,130,,0.0,1,1,1,1,1,0,0,3,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,Antalya , Alanya-Kleopatra 
Grand Park Lara,17313.7,14,100.0,0.0,2,1,4,2,5,0,1,6,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,Antalya , Lara-Kundu 
