otel_ad,fiyat,Fiyat Aralığı,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı
Finike Sever Otel,"4.500,00 TL",+33000,Antalya - Finike ,"110 km, Antalya ",100 - 200 Metre Arası,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Akkan Beach Hotel,"13.252,74 TL",13000-15000,Bodrum - Bodrum Merkez ,"35 km, Milas Bodrum HA ",Denize Sıfır (Aradan Yol Geçiyor),Yok,Yok,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Akkan Luxury Hotel,"17.975,16 TL",17000-19000,Bodrum - Bodrum Merkez ,"35 km, BodrumHA",50 - 100 Metre Arası,Özel Plaj,Yok,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Amore Boutique Hotel,"6.811,78 TL",5000-7000,Antalya - Kemer-Tekirova ,"80 km, Antalya HA ",300 - 400 Metre Arası,Halk Plajı,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Art Suites Bodrum,"30.000,00 TL",29000-31000,Bodrum - Yalıkavak ,"55 km, Milas ",Denize Sıfır,Yok,Var,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
Azuu Boutique Hotel,"14.716,32 TL",13000-15000,Antalya - Lara ,"15 km, Antalya HA ",750 Metre ve Üzeri,Halk Plajı,Yok,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Babil Butik Hotel,"8.302,50 TL",7000-9000,Antalya - Konyaaltı ,"20 km, Antalya ",100 - 200 Metre Arası,Özel Plaj,Yok,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Bodrium Hotel And Spa,"22.950,00 TL",21000-23000,Bodrum - Bodrum Merkez ,"35 km, Milas ",750 Metre ve Üzeri,Yok,Yok,1,0,1,1,1,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0
Casamia Boutique Hotels,"25.800,00 TL",25000-27000,Bodrum - Gündoğan ,"50 km, Milas HA ",Denize Sıfır,Özel Plaj,Var,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
Casaoliva Alaçatı,"28.382,40 TL",27000-29000,Çeşme - Alaçatı ,"85 km, Adnan Menderes HA ",750 Metre ve Üzeri,Yok,Yok,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
