"id","otel_ad","fiyat","imageURL","score","fiyat_araligi","bolge","hava_alanina_uzakligi","denize_uzakligi","plaj","iskele","a_la_carte_restoran","asansor","acik_restoran","kapali_restoran","acik_havuz","kapali_havuz","bedensel_engelli_odasi","bar","su_kaydiragi","balo_salonu","kuafor","otopark","market","sauna","doktor","beach_voley","fitness","canli_eglence","wireless_internet","animasyon","sorf","parasut","arac_kiralama","kano","spa","masaj","masa_tenisi","cocuk_havuzu","cocuk_parki"
432,Bergama Taşkonak,"12.211,50 TL",https://cdn.tatilsepeti.com/Files/TesisResim/09848/tsr09848636947251242837344.jpg,"","11000-13000",İzmir - Bergama ,"No Info km, No Info",No Info,Yok,Yok,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
427,Aspat Hotel Bodrum Beach Restaurant,"7.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11691/1050X700/tsr11691637594606325414069.jpg,"7,3","7000-9000",Bodrum - Akyarlar ,"45 km, Milas HA ","200 - 300 Metre Arası",Mavi Bayraklı Özel Plaj,Yok,"1","0","1","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","1","0","1","1","0","0","0","1","0"
426,Alaçatı Marina Palace,"9.769,20 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03851/1050X700/tsr03851638231276468802441.jpg,"8,2","9000-11000",Çeşme - Alaçatı ,"80 km, Adnan Menderes HA ","50 Metreye Kadar",Halk Plajı,Yok,"0","0","1","0","1","0","0","1","0","0","1","1","1","0","1","0","0","0","1","0","1","0","1","0","1","1","0","0","1"
429,Bambu Alaçatı,"6.750,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12510/1050X700/tsr12510637915827862122631.jpg,"","5000-7000",Çeşme - Alaçatı ,"No Info km, No Info",No Info,Yok,Yok,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
431,Belsea Hotel,"5.233,50 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/10295/1050X700/tsr10295638162922058083441.jpg,"7,6","5000-7000",Antalya - Kemer-Beldibi ,"40 km, Antalya HA ","200 - 300 Metre Arası",Halk Plajı,Yok,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
434,Beyaz Kapı Boutique Hotel,"10.060,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/09795/1050X700/tsr09795637919729262561464.jpg,"","9000-11000",Çeşme - Alaçatı ,"90 km, Adnan Menderes ","750 Metre ve Üzeri",Yok,Yok,"1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
531,Hotel Maison Vourla,"10.000,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/07593/1050X700/tsr07593637340414652745585.jpg,"9,3","9000-11000",İzmir - Urla ,"40 km, Adnan Menderes HA ","100 - 200 Metre Arası",Yok,Yok,"0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
532,Hoyran Wedre Köy Evleri,"16.536,00 TL",https://cdn.tatilsepeti.com/Files/TesisResim/06567/tsr06567637037991473927915.jpg,"10","15000-17000",Antalya - Demre ,"182 km, Antalya HA ",No Info,Yok,Yok,"0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
225,Blue Fish Hotel,"20.470,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/00805/1050X700/tsr00805637251554790225930.jpg,"7,5","19000-21000",Antalya - Alanya-Konaklı ,"118 km, Antalya HA ","50 - 100 Metre Arası",Özel Plaj,Var,"0","1","1","1","1","0","0","4","1","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","1","1","1"
106,Pırıl Hotel Thermal Beauty Spa,"20.625,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01012/1050X700/tsr01012637791145862232753.jpg,"8,1","19000-21000",Çeşme - Çeşme Merkez ,"80 km, Adnan Menderes HA ",Uygun Değil,Mavi Bayraklı Özel Plaj,Var,"0","1","1","1","2","1","1","4","0","1","1","1","0","1","1","0","1","0","1","0","0","0","1","0","1","1","1","1","1"
435,Beyond Hotel,"9.250,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02174/1050X700/tsr02174637344655664165417.jpg,"8","9000-11000",İzmir - Alsancak ,"18 km, Adnan Menderes HA ","100 - 200 Metre Arası",Yok,Yok,"0","1","0","1","0","0","1","1","0","0","0","1","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0"
172,Hotel Samara,"20.655,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/00059/1050X700/tsr00059638409947709266704.jpg,"9,2","19000-21000",Bodrum - Torba ,"27 km, Milas HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,"1","0","1","1","1","1","1","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1"
521,Alasonya Otel Alaçatı By Lamira,"8.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/08560/1050X700/tsr08560637338897718925301.jpg,"6,6","7000-9000",Çeşme - Alaçatı ,"97 km, Adnan Menderes HA ",No Info,Yok,Yok,"0","0","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
