otel_ad,fiyat,Fiyat Aralığı,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı
Akay Garden Family Club,"8.212,50 TL",7000-9000,Çeşme - Ildır ,"80 km, Adnan Menderes HA ",750 Metre ve Üzeri,Özel Plaj,Yok,0,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
Elamir Beach Bungalow,"10.631,28 TL",9000-11000,Antalya - Kemer ,"55 km, Antalya HA ",50 - 100 Metre Arası,Özel Plaj,Yok,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0
Adin Beach Hotel,"33.120,00 TL",+33000,Antalya - Alanya-İncekum ,"105 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,3,1,1,2,6,2,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1
Green Garden Resort Hotel,"24.480,00 TL",23000-25000,Antalya - Alanya-Obagöl ,"133 km, Antalya HA ",50 Metreye Kadar,Özel Plaj,Yok,1,1,1,1,6,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1
Suess Alaçatı,"18.000,00 TL",17000-19000,Çeşme - Alaçatı ,"90 km, Adnan Menderes HA ",750 Metre ve Üzeri,Yok,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Adenya Hotel Resort,"33.870,60 TL",+33000,Antalya - Alanya-Türkler ,"65 km, Gazipaşa ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,2,1,1,1,7,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
Champion Holiday Village,"30.801,60 TL",29000-31000,Antalya - Kemer-Beldibi ,"45 km, Antalya HA ",Denize Sıfır,Özel Plaj,Var,2,1,1,1,1,0,1,3,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
Commodore Elite Suites Spa,"43.621,20 TL",+33000,Antalya - Side-Evrenseki ,"55 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,2,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0
Hotel Turan Prince,"24.576,00 TL",23000-25000,Antalya - Side ,"55 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,3,1,1,1,3,1,0,11,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
İncekum Beach Resort,"24.990,00 TL",23000-25000,Antalya - Alanya-İncekum ,"98 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,2,0,2,1,2,1,1,3,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Juju Premier Palace (Ex. Amara Premier Palace),"32.400,00 TL",29000-33000,Null,Null,Null,Null,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
