otel_ad,fiyat,Predicted Price,Price Difference,Fair Price Range,Fair Price Percentage,bar,a_la_carte_restoran,plaj,acik_havuz,kapali_havuz,fitness,iskele,acik_restoran,sauna,animasyon,kuafor,spa,masa_tenisi,market,su_kaydiragi,beach_voley,doktor,otopark,wireless_internet,sorf,kapali_restoran,kano,cocuk_parki,arac_kiralama,balo_salonu,masaj,cocuk_havuzu,parasut,denize_uzakligi
Select Apart Hotel,4601.2,9363.6,-4762.4,Significantly Overpriced (Underpriced),+ 103.5,1,0,2.0,1,0,0,,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,750.0
Adrasan Deniz Hotel,16100.8,9748.0,6352.8,Significantly Overpriced,- 39.46,0,0,-1.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,300.0
Justiniano Deluxe Resort,37296.0,13860.1,23435.9,Significantly Overpriced,- 62.84,1,2,2.0,2,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.0
Kaya Palazzo Resort Residences Le Chic Bodrum,14700.0,14587.7,112.3,Fair,- 0.76,4,4,2.0,1,0,1,,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0.0
Laur Hotels Experience Elegance,27972.0,14700.7,13271.3,Significantly Overpriced,- 47.44,6,1,2.0,0,0,1,,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0.0
Balmy Beach Resort Kemer,5999.9,13281.5,-7281.6,Significantly Overpriced (Underpriced),+ 121.36,3,1,2.0,1,0,1,,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
Sui Resort Hotel,37719.6,12617.6,25102.0,Significantly Overpriced,- 66.55,4,3,2.0,1,1,1,,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,500.0
Side Win Hotel,14767.2,11216.0,3551.2,Significantly Overpriced,- 24.05,3,0,2.0,1,0,1,,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,500.0
Maja Luxury Resort Hotel Çeşme,47039.0,12696.0,34343.0,Significantly Overpriced,- 73.01,2,1,2.0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0
Side Bay Hotel,7442.3,11726.8,-4284.5,Significantly Overpriced (Underpriced),+ 57.57,0,0,2.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0
Class Unique Beach Hotel +13,21600.0,11550.1,10049.9,Significantly Overpriced,- 46.53,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jacaranda Luxury Hotel,5600.0,16089.4,-10489.4,Significantly Overpriced (Underpriced),+ 187.31,5,4,2.0,6,1,1,,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0.0
Dikelya Otel Dikili,12000.0,12083.9,-83.9,Fair (Underpriced),+ 0.7,1,0,2.0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0.0
Tamara Business Antalya,6600.0,10187.1,-3587.1,Significantly Overpriced (Underpriced),+ 54.35,1,0,-1.0,0,1,1,,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,400.0
Novva Hotels Kaş,11012.0,8374.5,2637.5,Significantly Overpriced,- 23.95,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,750.0
Kahveci Alibey Hotel Luxury Concept,8305.7,12689.5,-4383.8,Significantly Overpriced (Underpriced),+ 52.78,1,1,2.0,0,0,0,,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.0
Costa Viva Hotel,9369.0,10684.5,-1315.5,Overpriced (Underpriced),+ 14.04,0,0,-1.0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,100.0
İsnova Hotel,8700.0,12299.9,-3599.9,Significantly Overpriced (Underpriced),+ 41.38,1,1,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.0
Acapulco Resort Convention Spa Hotel,28470.0,16298.6,12171.4,Significantly Overpriced,- 42.75,7,4,2.0,1,1,1,,2,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,0,1,1,0,0.0
Akrones Thermal Hotel Spa,15744.0,15281.3,462.7,Fair,- 2.94,5,1,2.0,3,6,1,,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0.0
Bn Hotel Thermal Wellness,23120.0,15693.6,7426.4,Significantly Overpriced,- 32.12,0,1,2.0,9,14,1,,3,1,1,1,1,1,1,1,0,1,1,1,0,2,0,1,0,1,1,1,0,0.0
Concorde Tower Casino Convention Spa,30240.0,13249.3,16990.7,Significantly Overpriced,- 56.19,2,2,2.0,0,1,0,,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0.0
