id,otel_ad,fiyat,imageurl,score,fiyat_araligi,bolge,hava_alanina_uzakligi,denize_uzakligi,plaj,iskele,a_la_carte_restoran,asansor,acik_restoran,kapali_restoran,acik_havuz,kapali_havuz,bedensel_engelli_odasi,bar,su_kaydiragi,balo_salonu,kuafor,otopark,market,sauna,doktor,beach_voley,fitness,canli_eglence,wireless_internet,animasyon,sorf,parasut,arac_kiralama,kano,spa,masaj,masa_tenisi,cocuk_havuzu,cocuk_parki,predicted_price,price_difference,fair_price_range,fair_price_percentage
729,Nebilux Hotel,"13.176,48 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11945/1050X700/tsr11945638034197363078135.jpg,,"""13000-15000""",Antalya - Muratpaşa ,"12 km, Antalya ",Denize Sıfır (Aradan Yol Geçiyor),Halk Plajı,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11763.1,1413.3,Overpriced,-10.73
329,Latanya Palm Hotel,"7.200,00 TL",https://cdn.tatilsepeti.com/Files/TesisResim/02034/tsr02034637051789687763632.jpg,"8,1","""7000-9000""",Antalya - Antalya Merkez-Muratpaşa ,"8 km, Antalya HA ",750 Metre ve Üzeri,Halk Plajı,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,9013.9,-1813.9,Significantly Overpriced (Underpriced),25.19
118,Tui Blue Pascha Bay,"16.632,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/06248/1050X700/tsr06248638371269372016046.jpg,"8,9","""15000-17000""",Antalya - Alanya-Konaklı ,"130 km, Antalya HA ",Denize Sıfır,Özel Plaj,1,2,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,13543.8,3088.2,Overpriced,-18.57
119,Antique Roman Palace +16,"11.550,00 TL",,,"""11000-13000""",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11550.1,-0.1,Fair (Underpriced),0.0
731,Nills Stone House Otel,"28.920,32 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13087/1050X700/tsr13087638181054069108066.jpg,,"""27000-29000""",Çeşme - Çiftlikköy ,"No Info km, No Info",No Info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11550.1,17370.2,Significantly Overpriced,-60.06
730,Neva Hotel Alaçatı,"10.431,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13306/1050X700/tsr13306638251838021739582.jpg,,"""9000-11000""",Çeşme - Alaçatı ,"No Info km, No Info",No Info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11550.1,-1119.1,Overpriced (Underpriced),10.73
732,Nilus Butik Otel,"5.700,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13514/1050X700/tsr13514638494980152637457.jpg,,"""5000-7000""",İzmir - Urla ,"47 km, Adnan Menderes ",750 Metre ve Üzeri,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8301.3,-2601.3,Significantly Overpriced (Underpriced),45.64
438,Lupo Libero Hotel Spa,"9.830,66 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13477/1050X700/tsr13477638332414626192687.jpg,,"""9000-11000""",Antalya - Muratpaşa ,"12 km, Antalya ",500 - 600 Metre Arası,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,9768.8,61.8,Fair,-0.63
203,Haydarpasha Palace,"18.900,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/05769/1050X700/tsr05769637778537859125466.jpg,"7,6","""17000-19000""",Antalya - Alanya-Türkler ,"65 km, GazipaşaHA",Denize Sıfır (Aradan Yol Geçiyor),Mavi Bayraklı Özel Plaj,1,4,1,1,1,3,1,1,7,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16554.4,2345.6,Overpriced,-12.41
330,Meriç Hotel Turunç,"7.481,25 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/06091/1050X700/tsr06091637999692713283575.jpg,"7,4","""7000-9000""",Marmaris - Turunç ,"115 km, Dalaman HA ",100 - 200 Metre Arası,Mavi Bayraklı Özel Plaj,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,12257.4,-4776.2,Significantly Overpriced (Underpriced),63.84
5,Alaiye Resort Spa,"15.744,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01806/1050X700/tsr01806637245514100239477.jpg,"8,3","""15000-17000""",Antalya - Alanya-Türkler ,"105 km, Antalya HA ",50 - 100 Metre Arası,Özel Plaj,0,3,1,3,2,4,1,0,6,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,15826.6,-82.6,Fair (Underpriced),0.52
120,Astoria Hotel,"11.186,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02618/1050X700/tsr02618637347403451701140.jpg,"7,1","""11000-13000""",Antalya - Kemer-Merkez ,"55 km, Antalya HA ",200 - 300 Metre Arası,Özel Plaj,0,0,1,1,1,1,1,1,2,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,12271.3,-1085.3,Slight Overpriced (Underpriced),9.7
439,Marbas Select Beach,"3.752,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03200/1050X700/tsr03200638245881293920318.jpg,"7,5","""+33000""",Marmaris - İçmeler ,"110 km, Dalaman HA ",Denize Sıfır,Özel Plaj,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,12714.5,-8962.5,Significantly Overpriced (Underpriced),238.87
31,Kahya Resort Aqua Spa,"23.680,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01974/1050X700/tsr01974638036862528872391.jpg,"8,2","""23000-25000""",Antalya - Alanya-Konaklı ,"110 km, Antalya HA ",Denize Sıfır (Aradan Yol Geçiyor),Özel Plaj,0,2,1,1,1,1,0,1,6,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,15171.7,8508.3,Significantly Overpriced,-35.93
67,Sentido Kamelya Fulya Hotel,"33.526,64 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/05938/1050X700/tsr05938637419954296971346.jpg,"8,7","""+33000""",Antalya - Side-Çolaklı ,"55 km, Antalya HA ",Denize Sıfır,Özel Plaj,0,5,1,1,1,8,4,0,6,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,17392.0,16134.6,Significantly Overpriced,-48.12
733,Nixie Hotel Beach Yalıkavak - Adult Only,"8.550,96 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12338/1050X700/tsr12338637862432172569801.jpg,,"""7000-9000""",Bodrum - Yalıkavak ,"50 km, Milas ",Denize Sıfır,Özel Plaj,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12469.8,-3918.9,Significantly Overpriced (Underpriced),45.83
237,Şah Inn Paradise,"28.000,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03173/1050X700/tsr03173638019605263101802.jpg,"8,3","""27000-29000""",Antalya - Kumluca-Mavikent ,"105 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Plaj,1,1,0,1,1,9,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,14627.6,13372.4,Significantly Overpriced,-47.76
121,Celeste Bella Luxury Hotel Spa,"14.257,22 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12274/1050X700/tsr12274638435927549531501.jpg,,"""13000-15000""",Bodrum - Ortakent-Yahşi-Ortakent ,"47 km, Milas HA ",300 - 400 Metre Arası,Özel Plaj,0,1,1,1,1,1,0,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,11718.7,2538.5,Overpriced,-17.81
6,Aletris Deluxe Hotel Spa,"28.124,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12074/1050X700/tsr12074638066289110933751.jpg,"7,1","""27000-29000""",Antalya - Side-Çolaklı ,"45 km, Antalya HA ",600 - 750 Metre Arası,Özel Plaj,0,3,1,1,4,2,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,13110.1,15013.9,Significantly Overpriced,-53.38
238,The Marmara Bodrum,"27.827,81 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01053/1050X700/tsr01053637182456657444957.jpg,9,"""27000-29000""",Bodrum - Bodrum Merkez ,"35 km, Milas HA ",750 Metre ve Üzeri,Özel Plaj,0,1,0,1,1,2,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,9742.6,18085.2,Significantly Overpriced,-64.99
239,Tui Magic Life Bodrum +16 Adult Only,"26.573,40 TL",,,"""25000-27000""",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11550.1,15023.3,Significantly Overpriced,-56.54
