otel_ad,fiyat,Hava Alanına Uzaklığı,Denize Uzaklığı,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı,il,ilce
İncekum Su Hotel,15091.2,95,0.0,0.0,0,1,1,1,1,1,0,3,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya 
Kleopatra Ada Hotel,8775.0,120,50.0,0.0,1,1,1,1,1,0,1,2,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,Antalya , Alanya 
Kleopatra Royal Palm Hotel,10125.0,118,,0.0,1,0,1,1,2,0,1,2,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,Antalya , Alanya 
Orfeus Queen Spa,20568.0,55,300.0,0.0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,Antalya , Side-Çolaklı 
Britannia Hotel,4560.0,55,100.0,0.0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,Antalya , Kemer-Merkez 
Çıralı Azur Hotel,23946.8,90,100.0,0.0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,Antalya , Çıralı 
Ayhan Hotel Antalya,13611.9,10,750.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Antalya , Antalya Merkez-Muratpaşa 
Belcan Hotel,4726.3,45,100.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,Antalya , Kemer 
Blue Marina Hotel Spa,9477.9,10,,0.0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Antalya , Muratpaşa 
Zeynel Hotel,12150.0,21,,0.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Antalya , Konyaaltı 
Atalla Otel,9274.9,8,750.0,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Antalya , Muratpaşa 
Send Apart Hotel,6600.0,19,500.0,0.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Antalya , Konyaaltı 
Nasa Flora Otel,10290.0,15,100.0,1.0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Antalya , Lara 
Beyond Otel,11708.8,20,50.0,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Antalya , Antalya Merkez 
Derin Luxury Hotel,6000.0,0,,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Antalya , Kemer-Merkez 
Hayal Fener,8402.4,8,500.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antalya , Muratpaşa 
Hayal Residence Apart Hotel,10503.0,15,50.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Antalya , Lara 
Heredot`s House,13411.7,115,750.0,0.0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Antalya , Finike 
Kemer Residence,29417.2,41,100.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Antalya , Kemer 
Lara Marine Homes,15754.5,9,,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antalya , Muratpaşa 
New Safir Apart Hotel,13657.9,15,400.0,0.0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Antalya , Lara-Kundu 
Adrasan Lykia Edrassa Hotel,10350.0,110,,1.0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,Antalya , Adrasan 
Amore Boutique Hotel,6805.9,80,300.0,0.0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Antalya , Kemer-Tekirova 
Azuu Boutique Hotel,9061.7,15,750.0,0.0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Antalya , Lara 
Babil Butik Hotel,8302.5,20,100.0,0.0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,Antalya , Konyaaltı 
Mediterra Art Hotel,17628.8,16,750.0,0.0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Antalya , Kaleiçi 
Meis Exclusive Hotel,36900.0,165,0.0,1.0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,Antalya , Kaş-Çukurbağ Yarımadası 
